id,listing_type,property_type,price,location_city,location_city_district,area_property,area_land,construction_type,num_floors_building,apartment_floor,registered,heating_type,num_rooms,num_bathrooms,source
1660,s,a,47000,Beograd,Voždovac,25,,,8,1,t,Centralno,1,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/ustanicka/5e4db9b89a3091440f56d1e3
1661,s,a,72500,Beograd,Rakovica,69,,2019,3,3,f,Gas,3,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/stanka-paunovica-veljka/5e29f1d89a309146740bd766
1662,s,a,89000,Beograd,,72,,,3,0,t,Etažno,3.5,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/jovanke-radakovic/5dc3d58ee466e6532861ba7c
1663,s,a,160700,Novi Sad,Liman 3,82,,,5,82,t,Centralno,3,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/liman-3/5ed7a53427317110500174b7
1664,s,a,82400,Novi Sad,Liman 3,62,,,9,4,t,Centralno,2.5,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/liman-3/5f37c0720c7cde0be70500a2
1665,s,a,33000,Kragujevac,Gradske lokacije,38,,2002,5,5,t,Centralno,1.5,1,https://www.4zida.rs/prodaja/stanovi/kragujevac/oglas/centar/5f37c23f9a3091430d3716b8
1666,s,a,103000,Novi Sad,Sajmište,84,,1990,8,4,t,Centralno,3,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/sajmiste/5f049174273171767c56c783
1667,s,a,73180,Novi Sad,Adamovićevo Naselje,49,,2005,5,4,t,Centralno,3,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/adamovicevo-naselje/5f37b1f6e7541658ff7dc3e3
1668,s,a,44900,Kragujevac,Gradske lokacije,51,,,3,2,t,Centralno,2,1,https://www.4zida.rs/prodaja/stanovi/kragujevac/oglas/stari-grad/5f37b3359a30913b120f10de
1669,s,a,57680,Novi Sad,Liman 2,31,,,10,9,t,Centralno,1.5,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/liman-2/5f37b6aa0c7cde075a110ed6
1670,s,a,91060,Novi Sad,Grbavica,52,,,6,4,t,,2,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/grbavica/5f37b6b39a30913d23316787
1671,s,a,74160,Novi Sad,Bulevar Oslobođenja,54,,,,4,t,Centralno,2.5,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/bulevar-oslobodjenja/5f37b6d20c7cde075a110eda
1672,s,a,56140,Novi Sad,Detelinara,51,,,4,1,t,Centralno,2,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/detelinara/5ebfeb6e0c7cde47f54c1165
1673,s,a,265130,Novi Sad,Bulevar Oslobođenja,117,,2020,2,1,f,Etažno,4.5,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/bulevar-oslobodjenja/5ec262d49a309176d40b16ce
1674,s,a,77250,Novi Sad,Socijalno,37,,2005,,0,t,,1.5,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/socijalno/5ec3c4739a3091278f44bfe2
1675,s,a,74160,Novi Sad,Bulevar Oslobođenja,78,,,6,5,t,Centralno,3.5,2,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/bulevar-oslobodjenja/5ec54d009a30916dc55a2cfa
1676,s,a,63000,Beograd,Zvezdara,42,,,4,0,t,Etažno,2,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/jovana-cirilova/5f3793ee9a30912c5051734c
1677,s,a,72000,Šabac opština,Šabac grad,75,,2007,5,2,t,Centralno,3,1,https://www.4zida.rs/prodaja/stanovi/sabac-opstina/oglas/macvanska/5f3794930c7cde72390736c8
1678,s,a,85000,Vrnjačka Banja opština,Vrnjačka Banja grad,71,,,,,t,,2,1,https://www.4zida.rs/prodaja/stanovi/vrnjacka-banja-opstina/oglas/centar/5f379a470c7cde765d07f4f0
1679,s,a,88000,Beograd,Zvezdara,42,,2020,5,1,t,Etažno,1.5,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/zivka-davidovica/5f3769c86e72411b2f76a353
1680,s,a,100000,Novi Sad,Socijalno,67,,,4,2,t,Centralno,3,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/socijalno/5ebd15a59a3091618c337ecb
1681,s,a,44290,Novi Sad,Novo Naselje,25,,,5,3,t,Centralno,1,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/novo-naselje/5ebd48260c7cde11be63778f
1682,s,a,42750,Novi Sad,Bulevar Oslobođenja,27,,,5,5,t,Centralno,1,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/bulevar-oslobodjenja/5ebd6a0b0c7cde21762f9549
1683,s,a,77250,Novi Sad,Adice,60,,2018,,0,f,Centralno,3.5,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/adice/5f3713966cd2890c810527d9
1684,s,a,65950,Novi Sad,Grbavica,40,,2002,,0,f,Centralno,2,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/grbavica/5f37139a6cd2890c810527dc
1685,s,a,104000,Novi Sad,Nova Detelinara,85,,2013,5,5,f,Centralno,4,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/nova-detelinara/5f37139e6cd2890c810527e3
1686,s,a,157888,Beograd,Savski Venac,58,,,,1,t,Centralno,2,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/beograd-na-vodi/5f36e86f204f991e53238ce1
1687,s,a,174888,Beograd,Savski Venac,62,,,,2,t,Centralno,2,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/beograd-na-vodi/5f36e86f204f991e53238ce4
1688,s,a,274888,Beograd,Savski Venac,87,,,,23,t,Centralno,3,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/beograd-na-vodi/5f36e870204f991e53238ce7
1689,s,a,219888,Beograd,Savski Venac,81,,,,1,t,Centralno,3,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/beograd-na-vodi/5f36e871204f991e53238cea
1690,s,a,183888,Beograd,Savski Venac,55,,,,23,t,Centralno,2,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/beograd-na-vodi/5f36e872204f991e53238ced
1691,s,a,252888,Beograd,Savski Venac,72,,,,1,t,Centralno,2,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/beograd-na-vodi/5f36e866204f991e53238c8e
1692,s,a,258888,Beograd,Savski Venac,71,,,,1,t,Centralno,2,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/beograd-na-vodi/5f36e866204f991e53238c91
1693,s,a,252888,Beograd,Savski Venac,70,,,,3,t,Centralno,2,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/beograd-na-vodi/5f36e867204f991e53238c94
1694,s,a,1.338888e+06,Beograd,Savski Venac,162,,,,14,t,Centralno,4,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/beograd-na-vodi/5f36e84c204f991e53238bfc
1695,s,a,1.240888e+06,Beograd,Savski Venac,151,,,,14,t,Centralno,4,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/beograd-na-vodi/5f36e84c204f991e53238bff
1696,s,a,1.244888e+06,Beograd,Savski Venac,161,,,,14,t,Centralno,4,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/beograd-na-vodi/5f36e84d204f991e53238c02
1697,s,a,1.338888e+06,Beograd,Savski Venac,162,,,,14,t,Centralno,4,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/beograd-na-vodi/5f36e84e204f991e53238c05
1698,s,a,619888,Beograd,Savski Venac,172,,,,16,t,Centralno,4,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/beograd-na-vodi/5f36e843204f991e53238bcf
1699,s,a,467888,Beograd,Savski Venac,144,,,,15,t,Centralno,4,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/beograd-na-vodi/5f36e844204f991e53238bd2
1700,s,a,468888,Beograd,Savski Venac,138,,,,15,t,Centralno,4,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/beograd-na-vodi/5f36e844204f991e53238bd5
1701,s,a,125000,Beograd,Voždovac,105,,1970,23,19,t,Centralno,3.5,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/vojvode-stepe/5f36d72f8b60a0572575923f
1702,s,a,46350,Novi Sad,Grbavica,23,,,,2,t,,1,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/grbavica/5f36da7e950bd24048176307
1703,s,a,74700,Novi Sad,Adice,66,,2020,,0,f,Etažno,3.5,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/adice-novi-sad/5f36daf255d50d427257e1f3
1704,s,a,77900,Novi Sad,Bulevar Oslobođenja,54,,,,,f,Centralno,2.5,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/cirpanova/5f36cd8faa701d0b6d35676a
1705,s,a,39140,Novi Sad,Detelinara,23,,,,6,t,Centralno,1,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/starine-novaka/5f36ce180c7cde15944c3958
1706,s,a,159000,Beograd,Voždovac,79,,2012,7,4,t,Centralno,3,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/vojvode-stepe/5ee7bed00c7cde544b5cef2a
1707,s,a,44200,Beograd,Zvezdara,34,,2020,4,4,t,Etažno,1.5,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/sevarice/5f36c8c6b29c3d0dff46f71d
1708,s,a,49400,Beograd,Zvezdara,38,,2020,4,0,t,Etažno,1.5,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/sevarice/5f36c8c6b29c3d0dff46f735
1709,s,a,49400,Beograd,Zvezdara,38,,2020,4,1,t,Etažno,1.5,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/sevarice/5f36c8c7b29c3d0dff46f738
1710,s,a,92700,Novi Sad,Novi Sad - Centar,63,,,7,2,f,Centralno,2,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/novi-sad-centar/5ebbf0509a309154d35f65a3
1711,s,a,65510,Novi Sad,Adice,53,,2020,2,1,t,Gas,2.5,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/adice/5ebbf1b80c7cde6d0878bc69
1712,s,a,54390,Novi Sad,Adice,44,,2020,2,2,t,Gas,2,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/adice/5ebbf5940c7cde6e8f294e96
1713,s,a,65510,Novi Sad,Adice,53,,2020,2,2,t,Gas,2.5,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/adice/5ebbf8710c7cde707518bdd4
1714,s,a,36000,Srbija,Zlatibor opština,45,,,,0,t,Struja,2,1,https://www.4zida.rs/prodaja/stanovi/zlatibor-opstina/oglas/partizanske-vode/5d08c19e27317139213c4bb2
