price,location_city,location_city_district,area_property,num_floors_building,apartment_floor,registered,heating_type,num_rooms,num_bathrooms
47990.0,beograd,palilula,72.0,6.0,6.0,True,Centralno,3.0,1.0
49000.0,beograd,cukarica,57.0,5.0,5.0,True,Centralno,2.0,1.0
82000.0,beograd,cukarica,86.0,5.0,4.0,True,Centralno,2.5,1.0
145000.0,beograd,vracar,75.0,3.0,3.0,True,Etažno,4.0,1.0
95000.0,beograd,zemun,61.0,2.0,2.0,True,TA peć,3.0,1.0
462500.0,beograd,savski venac,250.0,6.0,5.0,True,Etažno,6.0,1.0
160000.0,beograd,savski venac,70.0,10.0,8.0,True,Centralno,3.0,1.0
180000.0,beograd,vracar,140.0,4.0,4.0,True,Centralno,4.0,1.0
95000.0,beograd,zemun,61.0,2.0,2.0,True,Struja,2.5,2.0
98500.0,beograd,zvezdara,61.0,8.0,2.0,True,Centralno,3.0,1.0
100000.0,beograd,zemun,81.0,3.0,0.0,True,Gas,3.0,1.0
110000.0,beograd,cukarica,66.0,5.0,1.0,True,Centralno,2.5,1.0
215000.0,beograd,savski venac,92.0,4.0,3.0,True,Etažno,3.5,1.0
237000.0,beograd,stari grad,79.0,5.0,2.0,True,Centralno,3.5,1.0
34000.0,beograd,vozdovac,25.0,13.0,2.0,True,Centralno,1.0,1.0
57000.0,beograd,savski venac,33.0,4.0,1.0,True,Etažno,1.0,1.0
210000.0,beograd,novi beograd,130.0,5.0,5.0,True,Centralno,5.0,1.0
279999.0,beograd,savski venac,98.0,7.822314049586777,0.0,True,Gas,4.0,1.0
111600.0,beograd,vozdovac,62.0,8.0,4.0,True,Etažno,3.0,1.0
125000.0,beograd,zemun,81.0,1.0,0.0,True,TA peć,2.0,1.0
59300.0,beograd,zvezdara,52.0,3.0,2.0,True,Norveški radijatori,2.0,1.0
73400.0,beograd,zvezdara,64.0,3.0,3.0,True,Norveški radijatori,2.5,1.0
99000.0,beograd,zvezdara,86.0,3.0,3.0,True,Norveški radijatori,4.0,1.0
113000.0,beograd,stari grad,58.0,5.0,3.0,True,Centralno,2.5,1.0
80138.0,beograd,vozdovac,42.0,7.0,4.0,False,Etažno,2.0,1.0
86134.0,beograd,zvezdara,49.0,5.0,1.0,True,Centralno,2.0,1.0
210000.0,beograd,zvezdara,117.0,7.0,7.0,True,Centralno,4.0,2.0
42000.0,beograd,vozdovac,27.0,4.0,4.0,True,Centralno,1.0,1.0
89000.0,beograd,zemun,62.0,22.0,17.0,True,Centralno,2.5,1.0
240000.0,beograd,vracar,82.0,4.910761154855643,0.0,True,Centralno,3.0,1.0
89900.0,beograd,zvezdara,46.0,3.0,3.0,True,Norveški radijatori,2.5,1.0
97460.0,beograd,cukarica,49.0,5.0,3.0,True,Centralno,2.0,1.0
92000.0,beograd,cukarica,57.0,8.0,6.0,True,Centralno,2.0,1.0
98000.0,beograd,savski venac,90.0,3.0,3.0,True,TA peć,3.0,1.0
75000.0,beograd,cukarica,75.0,3.0,0.0,True,Centralno,4.0,1.0
155000.0,beograd,novi beograd,90.0,8.0,2.0,True,Centralno,3.0,2.0
105000.0,beograd,zvezdara,47.0,4.930902111324376,4.0,True,Centralno,2.0,1.0
80000.0,beograd,vozdovac,80.0,5.7492447129909365,3.0886699507389164,True,Struja,4.0,1.0
