id,listing_type,property_type,price,location_city,location_city_district,area_property,area_land,construction_type,num_floors_building,apartment_floor,registered,heating_type,num_rooms,num_bathrooms,source
7790,s,h,1120000.0,beograd,savski venac,345.0,,,,,True,Centralno,,1.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/majora-jagodica/5ef45aae2731715b17137313
7791,s,h,129000.0,beograd,zvezdara,180.0,,1990,,,True,Etažno,,1.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/keltska/5d655ee027317113be16e213
7792,s,h,35000.0,putinci,ruma opstina,81.0,2.5,,,,True,Kaljeva peć,,1.0,https://www.4zida.rs/prodaja/kuce/subotica-opstina/oglas/radijalac/5d77b68ee466e669ef4cf654
7793,s,h,120000.0,beograd,zvezdara,130.0,3.2,1970,,,True,TA peć,,2.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/mali-mokri-lug/5d86180ae466e649db0db369
7794,s,h,79900.0,beograd,surcin,382.0,11.0,,,,True,Etažno,,1.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/bate-boljanca/5ddd3b1ce466e619fb697eb3
7795,s,h,432600.0,novi sad,tatarsko brdo,320.0,,2019,,,True,,,3.0,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/tatarsko-brdo/5df3daeb2731711383236db3
7796,s,h,129900.0,beograd,vozdovac,220.0,1.8,,,,True,Etažno,,2.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/vozdovac/5d9b0a23e466e65ba26d7b8c
7797,s,h,80000.0,beograd,zemun,150.0,,,,,True,,,1.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/male-medje-nova-34/5c9bc9952731714ee0765c7b
7798,s,h,160000.0,beograd,zemun,216.0,,,,,True,,,1.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/hercegovacka/5cb99d702731715f4852f095
7799,s,h,110000.0,stara pazova,stara pazova opstina,420.0,,,,,True,,,1.0,https://www.4zida.rs/prodaja/kuce/stara-pazova-opstina/oglas/vojvodjanska/5dde9ed4273171196b139dd3
7800,s,h,59900.0,srbobran,srbobran opstina,198.0,600.0,2000,,,True,Etažno,,1.0,https://www.4zida.rs/prodaja/kuce/pancevo-opstina/oglas/stari-tamis/5d555e6ce466e643a5377537
7801,s,h,19500.0,sremska mitrovica,sremska mitrovica opstina,45.0,34.0,,,,True,,,1.0,https://www.4zida.rs/prodaja/kuce/sremska-mitrovica-opstina/oglas/besenovacki-prnjavor/5f4222aef79310116b402b8f
7802,s,h,115000.0,beograd,zemun,120.0,2.9,,,,True,Struja,,1.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/zadrugarska/5daa751d2731715fe6058213
7803,s,h,75000.0,sremski karlovci,sremski karlovci opstina,100.0,2500.0,,,,True,,,1.0,https://www.4zida.rs/prodaja/kuce/subotica-opstina/oglas/beogradski-put/5e65f2d227317166da4ca902
7804,s,h,570000.0,beograd,savski venac,205.0,,,,,True,Centralno,,4.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/majora-jagodica/5ef45ab02731715b17137317
7807,s,h,36050.0,srbobran,srbobran opstina,83.0,2.87,,,,False,,,1.0,https://www.4zida.rs/prodaja/kuce/srbobran-opstina/oglas/srbobran-grad/5ec433b627317140c6779d18
7808,s,h,66950.0,leskovac,leskovac opstina,65.0,2.78,,,,True,,,1.0,https://www.4zida.rs/prodaja/kuce/sremski-karlovci-opstina/oglas/sremski-karlovci-grad/5ebeb5bd27317111af4a14ed
7809,s,h,226600.0,novi sad,lipov gaj,241.0,500.0,,,,True,Gas,,1.0,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/lipov-gaj/5eb91b1f2731714861751033
7810,s,h,30900.0,palic,subotica opstina,202.0,4.97,,,,True,,,1.0,https://www.4zida.rs/prodaja/kuce/srbobran-opstina/oglas/srbobran-grad/5eaf37d62731713e984ee2bc
7811,s,h,82400.0,batocina,batocina opstina,232.0,6.29,,,,True,Centralno,,1.0,https://www.4zida.rs/prodaja/kuce/srbobran-opstina/oglas/srbobran-grad/5ea046de273171193b5bd203
7812,s,h,47000.0,beograd,,66.0,,,,,True,Struja,,1.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/vojislava-ivetica/5bd39b0d2731713e413106e1
7813,s,h,70000.0,beograd,stari grad,45.0,,,,,True,Etažno,,1.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/bulevar-despota-stefana/5bd39b102731713e413106e5
7814,s,h,135000.0,beograd,palilula,180.0,,,,,True,Etažno,,1.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/sutjeska-blok/5bd39b402731713e41310743
7815,s,h,169000.0,beograd,vozdovac,290.0,,,,,True,Etažno,,1.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/svemira-jovanovica/5bd39b752731713e4131079d
7816,s,h,115000.0,beograd,rakovica,200.0,,,,,True,Struja,,1.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/godominska/5bd39b292731713e4131071b
7817,s,h,290000.0,beograd,savski venac,235.0,,2008,,,True,Gas,,1.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/miloja-djaka/5bd39b522731713e4131075d
7818,s,h,350000.0,beograd,savski venac,150.0,,,,,True,Gas,,1.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/paje-adamova/5bd39b572731713e41310769
7819,s,h,120000.0,beograd,stari grad,90.0,,1996,,,True,Struja,,1.0,https://www.4zida.rs/prodaja/kuce/beograd/oglas/kneginje-ljubice/5bd39b1e2731713e41310709
7820,s,h,47380.0,banja koviljaca,loznica,166.0,3.09,,,,False,Gas,,1.0,https://www.4zida.rs/prodaja/kuce/srbobran-opstina/oglas/srbobran-grad/5eca3e8c273171199a158953
7821,s,h,257500.0,novi sad,sajlovo,297.0,6.0,,,,False,Centralno,,1.0,https://www.4zida.rs/prodaja/kuce/novi-sad/oglas/sajlovo/5e67a3f0273171537839299a
